plate,review_reason_code,customer_meaning,reviewer_comments,status
BBS GOT6,1,I have 6 kids,"Baby's got back (ass) 6=ASS (from military meaning, behind you)",Y
BLWN HST,1,NO QUICKWEB AVAILABLE YET,"BLOWN, SEXUAL CONNOTATIONS",N
CALI CMB,2,THIS PLATE REPRESENTS MY BEING A US ARMY COMBAT MEDIC VETERAN.,"CMB=Cash Money Brothers, Urban Dictionary and Google say it is the name of a gang in Brooklyn (Legacy plate)",N
CHONGO,2,NICKNAME,"CHONGO, MEANS MONKEY. FOUND ON THE RACIAL SLUR DATABASE WEBSITE",N
CRUZN13,2,NO QUICKWEB AVAILABLE YET,"13 IS GANG NUMBER, HAS A 2013 CHEVY TRUCK",Y
DEADLOV,1,"DIEGO,ERIKA,ARIA,DAHLIA=LOVE","DEAD LOVE, SEXUAL CONNOTATIONS",N
DE BOLAS,1,NICKNAME,BALLS IN SPANISH,N
DEDPUUL,2,MY FAVORITE SUPER HERO,"This is really a superhero, DEDPOOL has been out since 2006 but DEADPL is unaccept",Y
DNB,3,NAME INITIALS,DNB=a do nothing bitch 6229 up on Urban Dictionary and 3813 down. Is also on Acronym Finder website. It is his initials.,N
DR STANK,2,WIFE HAS A DOCTORATE IN EDUCATION AND STANK IS A NICKNAME,Urban Dictionary says it means whoreish trashy or stinky and can have sexual connotations…?,N
DRTY WBY,2,DIRTY WOOBY (SECURITY BLANKET),DIRTY WHITE BOY,N
FANY FZL,1,NO QUICKWEB AVAILABLE YET,FANNY=ASS AND IN THE UK FANNY=VAGINA,N
FPD A21,5,I AM RETIRED FROM FONTANA POLICE DEPT. A21 WAS MY ID NUMBER,FONTANA POLICE DEPT-FPD,N
FSH TAHO,1,FISH TAHOE,"FISH TACO? LEGACY PLATE, THEY LIVE IN CAMARILLO… She doesn’t have a Tahoe",N
GAY DAD,,NO QUICKWEB AVAILABLE YET,"DOESN’T SOUND NEGATIVE, OKAY? JUST SENDING FOR REVIEW PER INSTRUCTIONS",Y
GOBLIN,2,GOBLIN WAS THE NAME OF A BELOVED PET.,"SLANG FOR GANGSTER, INTERNETSLANG.COM AND URBAN DICTIONARY",Y
GOTURSX,1,"GOT YOUR SIX , MEANS GOT YOUR BACK (LAW ENFORCEMENT TERM)",SIX OR SEX?,N
GS BOMB,2,GEORGIES BOMB,G=GANGSTER (NAME IS JORGE) AND PULLED BECAUSE OF BOMB,N
G8WY DRG,3,PONTIAC G8,GATEWAY DRUG,N
H BOMBER,2,NICKNAME,BOMB,N
HDP FTW,3,HDP IS STOCK SYMBOL OF COMPANY I WORK FOR,"HDP=HIJO DE PUTA, SON OF A BITCH IN SPANISH, AND FTW=FUCK THE WORLD",N
HRD FROG,1,HORNED FROG,"HARD FROG, FROG IS SOMEONE FROM FRANCE… HARD COULD HAVE SEXUAL CONNOTATIONS",N
HSLEGNG,2,HUSTLEGANG,PULLED FOR GANG,N
HYCHIEF,3,FAMILY ELDER,HIGH,N
IDG4F,3,I DO GIVE 4 FOOD,I DON’T GIVE A FUCK (OR FOUR FUCKS),N
ITITITI,1,SHORT FOR ITALY,TITTY,N
I88,2,GOOD LUCK NUMBER AND LETTER,88=HATE SYMBOL,N
JACST13,2,FAMILY MEMBER INITIALS AND LUCKY NUMBER,13=GANG NUMBER,N
JSCRBLZ,1 OR 3,NICK NAME,"JENNIFER SOMME, J SCRABBLES (OK) OR IS IT BALLS OR BLAZE AT THE END? OR J'S CAR BLOWS?",N
KCODEFB,3,NO QUICKWEB AVAILABLE YET,FB can mean Fuck Buddy or Fucking Bitch,Y
LAZ 5OHH,5,ITS MY NICK NAME. ALSO I DRIVE A MUSTANG. 5.O LITER ENGINE,"ani shows a Ford but the body type is SV, doesn’t sound like a Mustang body type. 5-oh is police",N
LUV2SMK,3,LOVE TO SMOKE (DIESEL ENGINE POWER),love to smoke…cigarettes? weed?,N
MCFC FN,3,MANCHESTER CITY FOOTBALL CLUB FAN,"FC=FUCK, FN=EFFIN",N
MI COCO,3,MY CHOCOLATE,COCO CAN MEAN COCAINE,N
MOB CITY,2,MOB CITY MEANS THE PEOPLE IN CITY IS ALWAYS DRIVING AROUND. NO MATTER WHERE YOU GO IN LA YOU HAVE TO DRIVE. MOB THE CITY JUST MEANS DRIVING THE CITY.,"MOB=Member of Bloods, or organized crime",N
MOREN88,2,MY LAST NAME IS MORENO AND I WAS BORN IN 1988,"88=HATE SYMBOL, NO 88 CAR",N
OMIGLOB,3,OH MY GOD,urban dictionary says 'glob' is an extremely large dab of hash oil 102 up 9 down,N
O69,1,MY BIRTH YEAR,NO 1969 CAR,N
PITAS,3,MY DECEASED FATHER'S NICK NAME,PITA=PAIN IN THE ASS,N
PNISHIR,2,PUNISHER,PUNISHER,N
RD4LOVE,2,PERSONAL INITIALS FOR ROXANNE AND DANIEL PLUS OUR 4 KIDS,red?,Y
RD4 2OM,3,INTINALS AND BIRTHDAY,PULLED FOR 420 (THERE IS JUST A HALF SPACE BETWEEN 4 AND 2) AND HIS BD IS IN OCTOBER,N
REDRYNO,2,CHARACTER OF THE CAR,red=GANG COLOR,Y
REDWIFE,2,"MY WIFE CALLS MY RED 1965 CHEVY TRUCK MY ""RED WIFE"".",red=GANG COLOR,Y
RIDEPOW,2,"I SNOWBOARD IN POWDER. HENCE, 'RIDEPOW'","POW, LIKE SOUND OF A GUN?",N
RIP ICE,"2, 3","REST IN PEACE, INTERNAL COMBUSTION ENGINE",ICE=TO KILL SOMEONE OR A SLANG WORD FOR METH,N
R82BA,2,RIGHT TO BEAR ARMS AND ITS ALSO THE YEAR I WAS BORN,"RIGHT TO BEAR ARMS, 2ND AMENDMENT, OK?",Y
SHINGA 2,3,NO QUICKWEB AVAILABLE YET,CHINGA=FUCK IN SPANISH,N
SOPLAS1,1,"THIS IS NICKNAME THAT WAS GIVEN TO ME BY FAMILY AND FRIENDS..""BLOWING"" ENGINE IS BLOWN AS IN THE ""SUPERCHARGED ONE""","BLOWING OR BLOWN, SPANISH",N
SPAZZY,2,NICKNAME,"dictionary.com says spazz is offensive slang, shortened from spastic",N
STRBLZR,3,NO QUICKWEB AVAILABLE YET,BLAZE CAN HAVE DRUG CONNOTATION. HE DOESN’T HAVE A CHEVY BLAZER. HE DOES ALREADY HAVE THE PLATE 'STRBLSR' STARBLAZERS WAS THE NAME OF A TV SHOW IN THE 70'S,N
SUQ IT,1,NAME OF MY COMPANY.,SUCK IT,N
SXIII,2,CHASSIS CODE,"XIII=13 IN ROMAN NUMERALS, 13 IS GANG NUMBER. S13 IS NISSAN CODE, HE HAS A NISSAN",N
SZ MTTRZ,1,SIZE MATTERS' I HAVE A LARGE CAR WITH A LARGE  ENGINE.,could have sexual connotations. a few are out there but a couple are unacceptable,N
TRBLE13,2,NICKNAME,"13=GANG NUMBER, NO 2013 CAR",N
T1TZTRK,1,LETTERS IN MY PARENTS NAME AND MONTH OF  THEIR WEDDING,TITS TRUCK,N
VS 69 SL,1,MOTHERS NAME AND CAR,"69, NO 1969 VEHICLE ON ANI",N
WADAFUC,3,FAMILY NAME,WHAT THE FUCK,N
WLDNANI,1,FAMILY MEMBER,"NANI, CAN BE SHORT FOR PUNANI (PUSSY)",N
YBMFW,3,YORBA LINDA MEN'S FARM WORKERS,YOU'VE BEEN MOTHER FUCKING WARNED,N
YU HATEN,2,WHY DON'T YOU LIKE MY CAR?,HATE,N
YUKON5O,5,MAKE OF CAR,"has GMC, they make Yukon.  50 can mean police",N
YUR MOM,2,MY WIFE IS THE NEIGHBORHOOD MOM TO 15  KIDS,TAUNTING,N
ZO6BALR,2,ZO6 SUCCESS,baller,N
1BATMOB,2,A BAT MOBILE,"MOB=Member of Bloods, or organized crime",N
1BULLET,2,SILVER CAR SO SILVER BULLET,BULLET,N
1LHOOQ1,1,MARCEL DUCHAMP WORK OF ART,"a pun, the letters pronounced in French say ""She is hot in the arse"" BTW, similar plate LHOOQ the reservation is out there, plates are probably in field office right now. (this is the Mona Lisa with a mustache and gotee)",N
1 OGLTD,2,CAR TYPE,O.G.,N
14ORTY7,5,FAVORITE NUMBER SPELLED OUT,urban dictionary says 147 is code for an undercover cop,N
187SBEE,2,AWESOME SUPER BEE,"187=HOMICIDE, Dodge is a 2013",N
1969RRQ,1,BIRTHDAY YEAR AND INITIALS,NO 69 CAR,N
2BLUEII,2,2 BLUE EYES,"BLUE, GANG COLOR",Y
2 FUXGVN,3,NEPHEWS NUMBER AND LITTLE LEAGUE TEAM  NAME,TWO FUCKS GIVEN,N
2OFTW12,3,"FOREVER TWO WHEELS 2012, GOT MARRIED ON MY MOTORCYCLE IN 2012",FTW IN THE MIDDLE OF 2012. FUCK THE WORLD,N
4  BAL  2,1,FOR LAST NAME TOO,balls  His last name is Bal,Y
44 HSTLN,2,MY UNION AND MY JOB,"hustling, making money by any means necessary sometimes illegal. Some are unacceptable",N
51O MOBN,2,"510 IS MY HOME AREA CODE, ND ""MOBBIN"" IS  SLANG FOR CRUISING IN A NICE CAR","510 AREA CODE, ALSO MOB",N
6HADES6,3,MY FAVORITE NUMBER AND MY FAVORITE GREEK GOD ALSO THE NICKNAME FOR MY CAR,"Hades=Hell, no Dodge has 2011 Ford",Y
67 BADMF,3,NO QUICKWEB AVAILABLE YET,BAD MOTHERFUCKER,N
69 PTROL,1,NO QUICKWEB AVAILABLE YET,"HE DOES HAVE A 1969 DATSON UT, OK? WASN’T SURE OF '69 PATROL' MEANING…",Y
8SANCHO,1,THE NUMBER IS FOR THE DAY THAT MY WIFE MERRY ME AND SANCHO IS A NICKNAME FOR MY  WIFE,"pulled for 8=ate Sancho (sancho=the other man, the guy your girl is cheating on you with.)",N
8SANDHU,1,LAST NAME,"8=ate Sandhu, not this customer's last name",N
I$MYHYE,3,I LOVE MY ARMENIAN,HYE does mean Armenian and I usually let it go but this one could sound drug related,N
$JAP G,2,NAME OF THE KID,JAP IS RACIALLY OFFENSIVE,N
$YOUH8N,2,JEALOUSY,love you hating,N
SIGGY&9,1,FAVORITE CHARACTER FROM A FILM,"sixty nine, no 1969 car",N
HTBTCH,3,ATTRACTIVE LADY,hot bitch,N
SECHS,1,NO QUICKWEB AVAILABLE YET,SEX,N
TRKNUT,1,MY VEHICLE IS A 2014 RAM 1500 PICKUP TRUCK. I AM A TRUCK ENTHUSIAST. THERE FOR THIS STANDS FOR TRUCK ENTHUSIAST.,"TRICK NUT, TRUCK NUT. EITHER WAY NUT",N
5FDP 4L,2,FIVE FINGER DEATH PUNCH FOR LIFE,BAND NAME BUT PULLED BECAUSE OF VIOLENT MEANING (5FDP is out there since 2013) THIS IS A MEMORIAL PLATE,Y
BDKMV 1,3,BETTY DON'T KILL MY VIBE,bitch don’t kill my vibe,N
GUNCOMP,2,GUN COMPENSATOR AND ACCESSORIES,gun,N
HUNG XL,1,DECEASED GRANDMOTHERS MAIDEN NAME,"HUNG, MEANING HAS A LARGE PENIS",N
H8FUL 8,2,CAR IS AN 8 SERIES BMW,HATE,N
IGOTGAS,3,GASOLINE POWERED CAR,FLATULENCE,N
ITS BLUE,2,THE COLOR OF MY CAR IS BLUE,"BLUE, GANG COLOR",Y
JD 13,2,NICKNAME AND LUCKY NUMBER,"no 2013 car, 13=gang number",N
PLXSPNK,1,PLEXUS PINK  PLEXUS IS A HEALTH AND WELLNESS COMPANY AND PINK IS THEIR COLOR.,"pink=pussy, also spank",N
PUANANI,1,THIS IS MY MIDDLE NAME. CHERILYN PUANAI WILMORE.,LOOKS LIKE PUNANI (PUSSY) PERSONON 272 IS JAMES WILMORE. PUANANI IS A REAL NAME THOUGH,N
Q VAINA,3,WHAT THINGS,"urban dictionary says it is Dominican slang for ""damn""",N
RNAREST,5,NO QUICKWEB AVAILABLE YET,ARREST? POLICE?,Y
R U DWN,1,DOWN SYNDROME AWARENESS,ARE YOU DOWN? CAN HAVE SEXUAL CONNOTATIONS.,N
SUPAHED,1,WIFES NICK NAME,"SUPER HEAD, SEXUAL CONNOTATIONS…",N
SWATIAM,5,"FIRST NAME OF SPOUSE, MIDDLE NAME FIRST INITIAL,LAST NAME FIRST INITIAL","SWAT I AM, SWAT IS POLICE",N
TARRGOT,2,NO QUICKWEB AVAILABLE YET,A TARGET,N
WEE WEE,3,WEE MEANS FUN,WEE WEE=URINE OR PENIS,N
XXX HP,1,UNKNOWN HORSE POWER,xxx=porn,N
1RED36,2,IT IS A RED 1936 PICK UP,red=gang color,Y
1SLO5OH,5,REFERENCE TO A VERY SLOW FORD MUSTANG 5.0,"ANI ONLY SHOWS A 2013 HONDA, 50 CAN ALSO MEAN POLICE",N
2015 TRD,3,MODEL DESCRIPTION: 2015 TOYOTA TACOMA  TRD,"turd, does have a 2015 Toyota truck",N
4 KIN L,3,NO QUICKWEB AVAILABLE YET,FUCKING HELL,N
4MACACO,1,NO QUICKWEB AVAILABLE YET,"SEXUAL CONNOTATIONS, MEANS MONKEY IN PORTUGUESE",N
8FLASH8,2,A BRIGHT CAMERA LIGHT,88=HATE SYMBOL,N
FU MANN,3,NICKNAME,EFF YOU MAN,N
WETDOG8,1,IT IS MY ON LINE VIDEO GAME AVATOR,PULLED BECAUSE OF WET AND ATE,Y
GRNDBLU,2,"GRAND BLU, FRENCH FOR BIG BLUE (SEA, OCEAN)","BLUE, GANG COLOR",Y
GRID GNG,7,NO MICRO,GANG?,N
ME NEGRA,2,NO MICRO,NEGRA RACIAL?,N
JAPO HD,2,NO MICRO,URBAN DICTIONARY SAYS A DEROGATORY TERM TO JAPANESE. 32 UP 18 DWN,N
GENER 14,7,NO MICRO,14-HITLER RELATED. NO 2014 CAR,N
ICGANDA,3,NO MICRO,"URBAN DICTIONARY SAYS ""GAND"" MEANS ASS IN INDIA. 103 UP N 44 DWN. BUT GOOGLE PRETTY MUCH SAYS SAME THING",N
CHN6ATE,3,CHINA GATE (GIRLFRIEND IMPORT COMPANY),"""CHINGATE"" IS MEXICAN SLANG FOR FUCK YOU AND IS MARKED UNACCEPTABLE.",N
DANCE13,7,owner of a dance studio called studio 13 dance,13-GANG NUMBER. NO 2013 CAR,N
DOMLOVE,1,NICKNAME,DOM LIKE DOMINANT?,N
DOOOOSH,2,DOUCHE BAG,DOUCHE,N
FUNK EM,3,I LOVE FUNK MUSIC IM A MUSICIAN WHO PLAYS FUNK MUSIC. JAMES BROWN IS A THE GODFATHER OF FUNK! LOVE LIFE=FUNK EM,CLOSE TO FUCK EM?,N
FWB,3,FOREVER WITH BABE,FRIENDS WITH BENEFITS,N
JF14,7,MY FIRST AND LAST NAME INITIAL WITH MY FAVORITE NUMBER,14-HITLER RELATED. NO 2014 CAR,N
KILABEE,7,THIS IS WHAT I CALL MY YOUNGEST SON,KILLA?,N
KW 88,7,MY INTITIAL AND HOUSE NUMBER,88-HITLER RELATED,N
LOKI31O,7,LOKI (NORSE GOD) AREA CODE 310,310 CULVER CITY AREA CODE,N
NE14AJA,7,MOM DAD AND SONS AGE AND INITALS,14-HITLER RELATED. NO 2014 CAR,N
N2DEEP,1,MILITARY TERM-TO LATE TO TURN BACK BECAUSE WE ARE IN TO DEEP ACCOMPLISH THE MISSION,SEXUAL,N
OMWTFYG,3,NO MEANING,OH MY WHAT THE FUCK,N
STR842O,7,CAR DATE OF BIRTH,STRAIGHT 420- 4/20 NATIONAL POT SMOKING DAY,N
YASSPLZ,3,YES PLEASE,"DOES ""ASS"" STAND OUT",N
1 RDSKN,2,NUMBER 1 WASHINGTON REDSINS FAN. MY FAVORITE NFL TEAM,REDSKIN-RACIAL,N
14GIPPR,7,NOTRE DAME UNIVERSITY. WIN ONE FOUR THE GIPPER,14-HITLER RELATED. NO 2014 CAR,N
415 SF,7,SAN FRANCISCO,415 BAY AREA CODE,N
6 RIV 9,1,69 RIVERA,NO 69 REGISTERED YET,N
JMOR$88,7,"JINGSHU, MARTIJN AND OLIVIA RUJKE FAMILY. 8 IS LUCKY NUMBER",88-HITLER RELATED,N
CLUBUD,7,"HIS NAME IS ""BUD"" AND HE ENTERTAINS OFTEN.","CLUB BUD-BUD LIKE A JOINT/MARIJUANA? FIRST NAME ""VAUGHN"" SO WHERE DOES BUD COME FROM?",N
LOW AF,3,IT MEANS THAT MY TRUCK IS LOWERED,AF-AS FUCK,N
AFBLUE,3,AIR FORCE BLUE,AF-AS FUCK. VET PLATE,Y
BING 619,7,MY NAME AND AREA CODE,619 SAN DIEGO AREA CODE,N
OMG FML,3,FIRST NAMES LETTERS,FML-FUCK MY LIFE,N
POONDOG,1,NICK NAME LAST NAME IS POON,POON IS SLANG FOR VAGINA. URBAN 8897 UP 2750 DOWN. IT IS THEIR LAST NAME,N
REDDNEK,2,IM A COWBOY,SLUR?,N
REDHWK,7,RED HAWK,RED-GANG COLOR,Y
REDPEPR,7,RED PEPPER,RED-GANG COLOR,Y
SKZOKTY,1,SKITZO KITTY IS MY BUSNIESS NAME,KITTY-VAGINA. HER BUSINESS IS A EROTIC BOUTIGUE,N
IEATASS,1,I EAT MEXICAN FOOD,I EAT ASS,N
AF 911,5,,911 EMERGENCY,N
AGGIE14,2,FOOTBALL TEAM NAME,14 GANG REFERENCE,N
AYKAY,2,,AK 47 GUN,N
BLUE731,2,HORSE NAME AND BIRTHDAY,BLUE,Y
CALGIRL,1,BORN AND RAISED IN CALIFORNIA. BORN IN 1951,CALL GIRL,N
COOCOO,2,MY DOGS NICK NAME,CRAZY ALSO A SOUND A COO COO CLOCK MAKES OR IT COULD BE COCO,N
DAJAKER,2,MY NAME,THE JACKER,N
DON PYRO,2,,PYRO FIRE,N
EGOKLLR,2,MY GRANDFATHERS NICKNAME,EGO KILLER,N
FOODPRN,1,FOOD PORN. LOVE TO EAT,FOOD PORN,N
FUEL PG,5,,FUEL PIG,Y
F3O5,2,,FUCK MIAMI 305,N
GUNOHNR,2,2ND AMMENDMENT SUPPORTER,GUN OWNER,N
HAILLLM,2,MY NAME AND LAST INITIAL,SOUNDS LIKE HELL,N
HEM PIRE,2,BUSINESS NAME,LOOKS LIKE HEMP,N
HYE LIFE,2,ARMENIAN LIFE,HIGH LIFE,N
IM A RED,2,"MANCHESTER UNITED FOOTBALL CLUB, IN ENGLAND, IS A TEAM THAT PLAYS IN RED. SUPPORTS SAY I AM A RED. I ALSO OWN THE PLATE MUFC 19X, WHICH IS CURRENTLY NOT ON A REGISTERED VEHICLE.",RED,N
JD RDNK,2,JOHN DEERE REDNECK,RED NECK,N
JOEY 911,5,MY NAME AND MODEL OF CAR,911 EMERGENCY,N
MAT GHAT,2,,GAT AS IN GUN,N
MEMOS 8O,2,,MEMOS IN SPANISH MEANS FOOL CRAZY,Y
MENI 323,2,MY DADS NAME AND BIRTHDAY,323 AREA CODE,N
MIKOO14,2,,14 GANG REFERENCE,N
MMMK666,2,MY CARS MODEL CODE IS MK6. AN ABBREVIATION FOR MARK 6 VOLKSWAGEN GTI,666 DEVIL,Y
MT BLUE,2,INITIALS AND COLOR,BLUE,Y
NIKHATE,2,,HATE,N
OG SNAIL,2,ORIGINAL SNAIL,ORIGINAL GANGSTER,N
OMW2FSU,1,ON MY WAY TO WORK,ON MY WAY TO FUCK SHIT UP,N
RD DEVIL,2,RED DEVIL,DEVIL,Y
SNO BNNY,2,SNOW BUNNY I LOVE THE SNOW,SNOW BUNNY IS ANOTHER WORD FOR WHITE GIRL,N
SUBI 714,2,IT IS THE AREA CODE THAT I LIVE IN AND ALSO THE MAKE OF THE CAR THAT I DRIVE,714 AREA OCDE,N
SUCEEYA,2,SOUTHERN UNIVERSITY GRADUATE,DIRTY OR NASTY,N
TATA,1,IT JUST MEANS DAD IN SERBIAN,BREAST,N
TEKATO,2,TOMAR DE TEKATE,SLANG FOR DRUG USER PER URBAN DICTIONARY,N
UGLY 392,2,MY CAR IS A RAT ROD AND IS SUPPOSE TO BE UGLY. THE ENGINE SIZE IS 392,UGLY,Y
YA BUTT,1,"WHEN I LIVED IN KANSAS, WHEN PEOPLE MAKE AN EXCUSE THEY SAY YA BUTT",BUTT,N
14SSLS3,2,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,14 GANG REFERENCE,Y
408RYDER,2,SAN JOSE CA DRIVER,408 AREA CODE,N
6SEIS6,2,MY FAVORITE NUMBER,666,Y
88LEO9O,2,BIRTHDAY YEARS,88 HITLER REFERENCE,N
DRAGNU2,2,,DRAGGING YOU TOO,N
WHO RYDZ,2,,HOO RIDE.. TO DO DRIVE BYS,N
13 RAT,2,WE EXTRACTED 13 DEAD RATS FROM CAR DURING RESTORATION,13 GANG REFERENCE,N
#BALGRL,1,,HAND BALL GIRL,N
DK$LOVE,1,D IS FOR MY HUSBAND K IS FOR ME. OUR LOVE,LOOKS LIKE DICKLOVE,N
FKBGM,3,FIRST LETTERS OF MY FAMILY,FUCK BITCHES GET MONEY,N
FUCK888,3,LUCKY NUMBER,FUCK LUCK,N
G THANG5,2,GUTIERREZ IS MY LAST NAME AND THERE IS FIVE OF US IN MY FAMILY,G THANG AS IN GANGSTA THANG,N
KENZ 14,2,THIS IS MY SISTER'S NAME (MACKENZIE) AND HER FAVORITE NUMBER. IT'S A CHRISTMAS PRESENT. SHH.,14 GANG REFERENCE,N
LAPCSUP,1,LOS ANGELES PRODUCTION COMPANY SUPERVISOR,LOOKS LIKE PUSSY PAL BACKWARDS,N
PETPIM P,1,I AM A VOLUNTEER FOR SCOOTER'S PALS DOG,PET PIMP,N
RLNTERD,2,,LOOKS LIKE ROLLING TERD,N
OMW2FYC,1,RICK JAMES,"ON MY WAY TO FUCK YOUR ""C"" COULD MEAN VARIOUS THINGS",N
MYGLK15,2,THE CAR I LOVE MERCEDES GLK,LOOKS LIKE MY GLOCK AS IN GUN,Y
831 JEEP,2,MONTEREY COUNTY- HOMETOWN.,831 AREA CODE,N
BA323MA,7,NO MICRO,323 CA AREA CODE,N
BMT213A,7,JAMES BOND,213 CA AREA CODE,N
CPT POOP,7,"ITS MY JOB TITLE ""CAPTAIN OF OPERATIONS PERSONNEL""",PULL FOR POOP?,N
MSTR BTS,1,NO MICRO,"MISTER BATES, MASTER BATES? LAST NAME IS BATES",N
OMW2DYB,1,CAR CLUB INITIALS,ON MY WAY TO DO YOUR BITCH?,N
PISSDOF,3,THIS IS THE NAME OF MY CAR,PISSED OFF,N
PPS 14,7,COMPANY NAME AND STABLISH YEAR,14-HITLER,N
SUPR OOH,1,MEANS SUBARU. IT IS THE MAKE OF MY CAR. MY FRIENDS REFER TO ME AS SUPERMAN SO THIS NAME WILL BE FITTING FOR MY CAR AND MYSELF. SUPER-OOH=SUBARU,"SUPER OH, ORGASM?",N
2FKNSLO,3,TO FRENCH KISS IN SAN LUIS OBISPO,TOO FUCKIN SLOW,N
FTW GEAR,3,NO MICRO,FUCK THE WORLD,N
HETTMOB,7,NO MICRO,MOB.. LAST NAME IS HETT,N
FKURLSX,3,MEMORY OF MY UNCLE,FUCK YOUR LSX,N
PAEZ51O,7,MY LAST NAME AND AREA CODE,CA AREA CODE,N
AWW SHET,3,NAME OF GIRLFRIEND,AW SHIT,N
OMG H8R,7,NAME ABBREVIATION,HATER,N
PAYAN 88,7,MY SON'S LAST NAME FROM HIS MOTHERS SIDE AND THE YEAR HE WAS BORN,88-HITLER,N
RUGER 13,7,NO MICRO,13-GANG,N
TURBO HO,1,2000 CHEVY TAHOE WITH A TURBO CHARGER,HO,N
14CS 1O1,7,NO MICRO,14-HITLER,N
3SHTTYZ,3,THE MODEL OF MY VEHICLE,THREE SHITTIES,N
69 LEON,1,NO MICRO,COULDN’T VERIFY 69 VEHICLE,N
2LONG4U,1,NO MICRO,SEXUAL?,N
#54H8TN,7,HIGH FIVE FOR HATING,HATING,N
$CHUCHI,3,CHILDHOOD NICKNAME,"GOOGLE BRINGS UP ""BREAST"" IN HINDI (THO NOT SPECIFIED AS SEXUAL), SLANG FOR ""PUSSY"" IN ENGLISH, AND ""BEAUTIFUL"" IN SPANISH",N
RFS&88,7,DRIVER INITIAL,88-HITLER. RFT SHOWN AS INITIALS,N
V POKER,1,VIDEO POKER,VAGINA POKER? POKER VAGINA? VIDEO POKER,N
AMATERU,1,NO MICRO,"NOT SURE WHAT IT MEANS BUT IT BROUGHT UP A LOT OF PORN SITES ON GOOGLE. PORN SHOWN UNDER THE ""VIDEO"" CATEGORY BUT NOTHING BAD UNDER THE ""IMAGES"" CATEGORY",N
BAC DOR,1,LAST ONE IN LINE,BACK DOOR… SEXUAL?,N
DON’T H8T,7,TO BE KIND AND LOVE EVERYONE,HATE,N
P9OD FTW,3,"CAR MODEL IS TESLA MODEL S P90D. FTW STANDS FOR ""FOR THE WIN"" WHICH IS COMMONLY USED ONLINE TO EXPRESS SOMETHING THAT IS THE BEST",FUCK THE WORLD,N
45 GLOCK,2,NO MICRO,GLOCK. GUN,N
MDR LIVN,2,MARINA DEL REY LIVING,MURDER LIVIN'. CUSTOMER LIVES IN MARINA DEL REY. ON A WHALE TAIL PLATE,N
AMZ TFF,3,NICKNAME,TFF-THAT’S FUCKING FUNNY,N
BIG BNR,7,SIGN COMPANY CALLED BIG BANNER,BIG BEANER,N
BIYOTCH,3,I AM A GAY MAN AND I AM PROUD,BITCH,N
CHAMP14,7,KEVIN HARVICK NASCAR CHAMP 2014,14-HITLER,N
CRZY ACR,7,CRAZY FAST DODGE VIPER ACR,ACR IS A RIFLE,N
DZZ NTZ,1,TRIBUTE TO OLDER CAR,DEEZ NUTS,N
F TURBOS,3,"F IS THE FIRST LETTER OF MY FIRST NAME, WHICH IS FABRICE.",FUCK TURBOS,N
F UPFORD,3,NAME INITIAL FORD,FUCK UP FORD,N
H8 UCLA,7,H8-MY NICKNAME,HATE,N
JKUR 13,7,MODEL AND YEAR OF MY JEEP WRANGLER,13-GANG,N
LKY13JJ,7,LUCKY YEAR 2013,LUCKY 13,N
MADBALS,1,MUSCLE CAR,MAD BALLS,N
MNKY BOY,7,THIS IS A NICKNAME AND ALSO THE NAME OF OUR BUSINESS. MONKEYBOY INDUSTRIES,MONKEY BOY…. OFFENSIVE?,N
OMY2FYB,3,NAME INITIALS,FUCK YOU BITCH,N
PIE VAN,1,"WE LOVE APPLE, CHERRY, BLUEBERRY AND PUMPKIN PIE",PUSSY VAN?,N
SQUAD G,7,GADBERRY FAMILY,G- LAST NAME IS GADBERRY,N
THUGRMY,7,THUG ARMY,THUG ARMY,N
TTYL B,3,TALK TO YOU LATER BRO,TALK TO YOU LATER BITCH,N
UCLA SUC,7,UCLA=SUCCESS,UCLA SUCKS,N
UROTRSH,7,EURO TRASH,EURO TRASH,N
VAS 69,1,"""VAS"" IS SHORT FOR VASKEN WHICH IS THE NAME OF OWNER OF A '69 CHEVY IMPALA",COULDN'T VERIFY 1969 VEHICLE,N
WZSTRPR,1,WISE STRIPER,WISE STRIPPER,N
YAYO M12,7,MY NICKNAME AND BIRTHDAY,YAYO-COCAINE,N
YEYO TOY,7,SERGIOS TOY,YEYO- COCAINE,N
8O5 C1O,7,8O5 BEER AND C10 CHEVY PICKUP,8O5 CA AREA CODE,N
$GLOCK29,7,HEART GLOCK 29,GLOCK-GUN,N
CB HO,1,COLDWELL BANKER HEATHER OSTROM,HO,N
RR88RS,7,RAIDERS,88-HITLER,N
ECBMF,1,ERIN CATHERINE BRAUN MASTER OF FINANCE DEGREE,ECB-CUSTOMERS INITIALS. MF-MOTHER FUCKER,N
BRAR 13,7,BRAR YOURS,13-GANG,N
NEED FWB,3,INSIDE JOKE,NEED FRIEND WITH BENEFITS,N
PSSTGFY,3,PSST… GOOD FOR YOU,PSST GO FUCK YOURSELF,N
WHTWDOW,7,NICKNAME FOR CAR,WEED,N
AIM LOW,2,NO MICRO AVAILABLE,AIM LOW ..GENITAL PUNCH,N
FAMILY G,2,NO MICRO AVAILABLE,G AS IN GANGSTER.. CUSTOMER LAST NAME STARTS WITH A G,N
